,dist_percentile,t_statistic,p_value
0,1.7000000000000002,-0.8890923044520549,0.3889368056133302
1,3.4000000000000004,-1.036914462965175,0.3166235503756816
2,5.1,-1.0119795347080274,0.3260959827139608
3,6.800000000000001,-1.3102477051867591,0.2081076982319346
4,8.5,-1.4337901309045977,0.16925219268532854
5,10.2,-1.5254616080769816,0.14546455202667144
6,11.899999999999999,-1.539357054893833,0.1421619943108437
7,13.600000000000001,-1.515423889095829,0.14766973462838126
8,15.299999999999999,-1.431439409920254,0.17044007973717595
9,16.900000000000002,-1.4026810140913109,0.17854044840520958
10,18.6,-1.3168665643215822,0.20539648797118173
11,20.3,-1.350330452182869,0.19457506671230052
12,22.0,-1.326040803564609,0.20237167324275732
13,23.7,-1.2816047701181768,0.2166461567230276
14,25.4,-1.2070747970084328,0.24303596524494253
15,27.1,-1.2552299493379901,0.2254167969105481
16,28.799999999999997,-1.2068934695931175,0.2427880958556309
17,30.5,-1.1817590256776929,0.2521557694672338
18,32.2,-1.1427434477925187,0.26751142112009285
19,33.900000000000006,-1.1874726764799426,0.24993382349752427
20,35.6,-1.1564725899610118,0.26195016586713793
21,37.3,-1.2224111070393522,0.23699386867719258
22,39.0,-1.2204210886402387,0.23789181134883766
23,40.699999999999996,-1.1849516285022992,0.2510836547621478
24,42.4,-1.1905653843511668,0.249115987479066
25,44.1,-1.180545302226103,0.25317528091673114
26,45.800000000000004,-1.1911758202886054,0.24921761500135486
27,47.5,-1.2109177297248233,0.24180604823578747
28,49.2,-1.1831206509073962,0.25222839888722903
29,50.8,-1.207880988249307,0.24283551195693087
30,52.5,-1.1911572308604037,0.2492180799907665
31,54.2,-1.1846966358824882,0.25177316541363814
32,55.900000000000006,-1.1743496754491731,0.2557449417828861
33,57.599999999999994,-1.1562030672691488,0.26288076093201423
34,59.3,-1.160342442895009,0.2611691798472344
35,61.0,-1.1640909317048402,0.25972525132558855
36,62.7,-1.1647853385663411,0.2594542887059124
37,64.4,-1.1668571392370362,0.258670576821349
38,66.10000000000001,-1.181701173871424,0.2528152287596763
39,67.80000000000001,-1.1983764543940487,0.24635990520938925
40,69.5,-1.1765096898935472,0.25467529824468166
41,71.2,-1.1988360577839927,0.24598819678924505
42,72.89999999999999,-1.1928728004320268,0.248250595521604
43,74.6,-1.2073611542514098,0.2426777075893254
44,76.3,-1.1974336776471968,0.24638448299455493
45,78.0,-1.1897280676144997,0.24934292207008352
46,79.7,-1.1935115986295524,0.24794911820531604
47,81.39999999999999,-1.1902122314246482,0.2493207720448922
48,83.1,-1.1819876701899004,0.2524227716615319
49,84.7,-1.1722651061004408,0.25620299088884546
50,86.4,-1.1813165062047204,0.2527860157471318
51,88.1,-1.1915108039669253,0.24888803100775397
52,89.8,-1.1795231179955878,0.2535492152306619
53,91.5,-1.2006627884190857,0.24533802872500377
54,93.2,-1.1823824027271626,0.25223807312860586
55,94.89999999999999,-1.1697716400645468,0.2571446637796999
56,96.6,-1.171418262398472,0.25643407258727813
57,98.3,-1.1794240575607446,0.2531868054678697
58,100.0,-1.1854017422671987,0.250804955199488
