,attribute,no_of_clusters
0,BF_RUD,7.0
1,BF_INT,7.0
2,BF_ADV,4.0
3,CHH_RUD,7.0
4,CHH_INT,5.0
5,CHH_ADV,11.0
6,FC_RUD,7.0
7,FC_INT,7.0
8,FC_ADV,7.0
9,MSW_RUD,9.0
10,MSW_INT,9.0
11,MSW_ADV,7.0
