,From,To,Mid,District,Floor,Top,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV
1088,0.6,0.7,0.35,394,20.6019123250465,23.36912720960081,0.9393939393939394,0.06060606060606061,0.0,0.030303030303030304,0.06060606060606061,0.9090909090909091,1.0,0.0,0.0,0.15151515151515152,0.8484848484848485,0.0
1089,0.6,0.7,0.35,395,22.476359236906134,26.317527216294636,0.9362745098039216,0.0196078431372549,0.04411764705882353,0.06862745098039216,0.1323529411764706,0.7990196078431373,0.9901960784313726,0.00980392156862745,0.0,0.19117647058823528,0.7745098039215687,0.03431372549019608
1090,0.6,0.7,0.35,396,23.695054411639475,27.13784461730197,0.9908256880733946,0.0,0.009174311926605505,0.06422018348623854,0.0779816513761468,0.8577981651376146,0.9954128440366973,0.0,0.0045871559633027525,0.22018348623853212,0.7568807339449541,0.022935779816513763
1091,0.6,0.7,0.35,397,22.666824247375963,25.796850787946333,1.0,0.0,0.0,0.08974358974358974,0.2564102564102564,0.6538461538461539,0.9615384615384616,0.038461538461538464,0.0,0.01282051282051282,0.9487179487179487,0.038461538461538464
1092,0.6,0.7,0.35,398,21.564083938897,24.45179420001123,0.9946524064171123,0.0,0.0053475935828877,0.20855614973262032,0.19786096256684493,0.5935828877005348,1.0,0.0,0.0,0.32085561497326204,0.6470588235294118,0.03208556149732621
1093,0.6,0.7,0.35,399,32.9435361346449,36.62829006934165,0.9615384615384616,0.0,0.038461538461538464,0.10256410256410256,0.21794871794871795,0.6794871794871795,1.0,0.0,0.0,0.24358974358974358,0.7307692307692307,0.02564102564102564
1094,0.6,0.7,0.35,468,18.51120176688936,24.43841078473165,0.5955056179775281,0.033707865168539325,0.3707865168539326,0.7078651685393258,0.1797752808988764,0.11235955056179775,0.8314606741573034,0.02247191011235955,0.14606741573033707,0.07865168539325842,0.0449438202247191,0.8764044943820225
1095,0.6,0.7,0.35,469,18.23829747491485,21.32423099354357,0.9516129032258065,0.024193548387096774,0.024193548387096774,0.3629032258064516,0.3467741935483871,0.2903225806451613,0.9354838709677419,0.04032258064516129,0.024193548387096774,0.1774193548387097,0.3951612903225806,0.4274193548387097
1096,0.6,0.7,0.35,470,12.5232697643601,14.767780332609853,0.8461538461538461,0.038461538461538464,0.11538461538461539,0.3269230769230769,0.5192307692307693,0.15384615384615385,0.9615384615384616,0.019230769230769232,0.019230769230769232,0.07692307692307693,0.09615384615384616,0.8269230769230769
1097,0.6,0.7,0.35,471,9.020248639868315,10.40806071118779,0.5833333333333334,0.03333333333333333,0.38333333333333336,0.6166666666666667,0.31666666666666665,0.06666666666666667,0.5,0.1,0.4,0.03333333333333333,0.05,0.9166666666666666
1098,0.6,0.7,0.35,472,17.529502035816712,20.329777580501013,0.7591240875912408,0.0364963503649635,0.20437956204379562,0.3795620437956204,0.45255474452554745,0.1678832116788321,0.6788321167883211,0.1897810218978102,0.13138686131386862,0.12408759124087591,0.32116788321167883,0.5547445255474452
1099,0.6,0.7,0.35,473,9.780183946576445,11.120810363219917,0.4230769230769231,0.07692307692307693,0.5,0.5,0.38461538461538464,0.11538461538461539,0.6153846153846154,0.0,0.38461538461538464,0.0,0.038461538461538464,0.9615384615384616
1100,0.6,0.7,0.35,474,10.267105469442873,11.820184974069406,0.75,0.09615384615384616,0.15384615384615385,0.4423076923076923,0.4423076923076923,0.11538461538461539,0.8076923076923077,0.17307692307692307,0.019230769230769232,0.09615384615384616,0.038461538461538464,0.8653846153846154
1101,0.6,0.7,0.35,475,12.934858853521238,14.601690671933934,0.8769230769230769,0.03076923076923077,0.09230769230769231,0.46153846153846156,0.4153846153846154,0.12307692307692308,0.7076923076923077,0.2,0.09230769230769231,0.24615384615384617,0.09230769230769231,0.6615384615384615
1102,0.6,0.7,0.35,476,12.079606340944625,14.329552580451027,0.627906976744186,0.05813953488372093,0.313953488372093,0.5465116279069767,0.4186046511627907,0.03488372093023256,0.313953488372093,0.6395348837209303,0.046511627906976744,0.06976744186046512,0.16279069767441862,0.7674418604651163
1103,0.6,0.7,0.35,477,14.517333185591557,16.50863474938433,0.7142857142857143,0.11428571428571428,0.17142857142857143,0.7,0.2571428571428571,0.04285714285714286,0.5857142857142857,0.4,0.014285714285714285,0.21428571428571427,0.12857142857142856,0.6571428571428571
1104,0.6,0.7,0.35,478,15.638267272262246,18.567360423970683,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.6666666666666666
1105,0.6,0.7,0.35,479,13.838750705316002,17.353018031185442,0.5164835164835165,0.2967032967032967,0.18681318681318682,0.4725274725274725,0.4175824175824176,0.10989010989010989,0.7472527472527473,0.21978021978021978,0.03296703296703297,0.16483516483516483,0.18681318681318682,0.6483516483516484
1106,0.6,0.7,0.35,480,17.15986800548075,19.90307393321577,0.2459016393442623,0.22950819672131148,0.5245901639344263,0.6885245901639344,0.26229508196721313,0.04918032786885246,0.5245901639344263,0.4098360655737705,0.06557377049180328,0.06557377049180328,0.3114754098360656,0.6229508196721312
1107,0.6,0.7,0.35,481,12.933234763172656,14.780891355289144,0.6666666666666666,0.012345679012345678,0.32098765432098764,0.5679012345679012,0.38271604938271603,0.04938271604938271,0.6419753086419753,0.24691358024691357,0.1111111111111111,0.1111111111111111,0.24691358024691357,0.6419753086419753
1108,0.6,0.7,0.35,482,7.856225308759615,8.700432998160759,0.6388888888888888,0.1388888888888889,0.2222222222222222,0.3333333333333333,0.5277777777777778,0.1388888888888889,0.8055555555555556,0.05555555555555555,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.8888888888888888
1109,0.6,0.7,0.35,483,9.872394981407602,11.01136474851516,0.8852459016393442,0.01639344262295082,0.09836065573770492,0.36065573770491804,0.5409836065573771,0.09836065573770492,0.8852459016393442,0.04918032786885246,0.06557377049180328,0.08196721311475409,0.26229508196721313,0.6557377049180327
1110,0.6,0.7,0.35,484,17.291177786954115,19.676532537887052,0.8677685950413223,0.09090909090909091,0.04132231404958678,0.1652892561983471,0.4214876033057851,0.4132231404958678,0.9256198347107438,0.049586776859504134,0.024793388429752067,0.19834710743801653,0.6942148760330579,0.10743801652892562
1111,0.6,0.7,0.35,485,15.943967661111495,17.52672205045652,0.9857142857142858,0.0,0.014285714285714285,0.1,0.37142857142857144,0.5285714285714286,0.9571428571428572,0.04285714285714286,0.0,0.5571428571428572,0.42857142857142855,0.014285714285714285
1112,0.6,0.7,0.35,486,15.611622939239721,17.900186187239715,0.8726114649681529,0.012738853503184714,0.11464968152866242,0.2484076433121019,0.42038216560509556,0.33121019108280253,0.7070063694267515,0.2356687898089172,0.05732484076433121,0.07643312101910828,0.5987261146496815,0.3248407643312102
1113,0.6,0.7,0.35,487,20.10776699354045,23.6031950445663,0.8571428571428571,0.03571428571428571,0.10714285714285714,0.3392857142857143,0.3392857142857143,0.32142857142857145,0.8928571428571429,0.10714285714285714,0.0,0.017857142857142856,0.7678571428571429,0.21428571428571427
1114,0.6,0.7,0.35,488,8.087923784794143,10.245458051897586,0.5671641791044776,0.014925373134328358,0.417910447761194,0.4626865671641791,0.3283582089552239,0.208955223880597,0.8805970149253731,0.07462686567164178,0.04477611940298507,0.13432835820895522,0.2537313432835821,0.6119402985074627
1115,0.6,0.7,0.35,489,28.932092271479497,31.22719214876392,0.8387096774193549,0.12903225806451613,0.03225806451612903,0.45161290322580644,0.3225806451612903,0.22580645161290322,1.0,0.0,0.0,0.3225806451612903,0.6129032258064516,0.06451612903225806
1116,0.6,0.7,0.35,490,11.377384438594316,16.80197088722665,0.6153846153846154,0.0,0.38461538461538464,0.5897435897435898,0.358974358974359,0.05128205128205128,0.9230769230769231,0.0,0.07692307692307693,0.10256410256410256,0.5897435897435898,0.3076923076923077
1117,0.6,0.7,0.35,491,16.792918837943922,22.227352854779355,0.8541666666666666,0.020833333333333332,0.125,0.3333333333333333,0.4375,0.22916666666666666,1.0,0.0,0.0,0.3958333333333333,0.5833333333333334,0.020833333333333332
1118,0.6,0.7,0.35,492,9.784739384859993,11.455475609973035,0.6111111111111112,0.027777777777777776,0.3611111111111111,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.6111111111111112,0.08333333333333333,0.3055555555555556,0.041666666666666664,0.3611111111111111,0.5972222222222222
1119,0.6,0.7,0.35,493,15.466550335258727,17.930568996225023,0.8478260869565217,0.06521739130434782,0.08695652173913043,0.6304347826086957,0.17391304347826086,0.1956521739130435,0.9347826086956522,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.7391304347826086,0.21739130434782608
1120,0.6,0.7,0.35,497,20.845748080087077,26.006403587919742,0.8235294117647058,0.09803921568627451,0.0784313725490196,0.2647058823529412,0.30392156862745096,0.43137254901960786,0.9215686274509803,0.058823529411764705,0.0196078431372549,0.30392156862745096,0.47058823529411764,0.22549019607843138
1121,0.6,0.7,0.35,498,16.077079836044742,18.527204522533054,0.9861111111111112,0.0,0.013888888888888888,0.4027777777777778,0.3611111111111111,0.2361111111111111,0.8888888888888888,0.027777777777777776,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.75
1122,0.6,0.7,0.35,499,13.875784318646343,15.733506861982711,0.9182389937106918,0.031446540880503145,0.050314465408805034,0.3018867924528302,0.48427672955974843,0.2138364779874214,0.710691823899371,0.16981132075471697,0.11949685534591195,0.0880503144654088,0.03773584905660377,0.8742138364779874
1123,0.6,0.7,0.35,500,18.48294454163902,20.549422349143455,0.8088235294117647,0.19117647058823528,0.0,0.23529411764705882,0.4632352941176471,0.3014705882352941,0.8382352941176471,0.16176470588235295,0.0,0.22058823529411764,0.20588235294117646,0.5735294117647058
1124,0.6,0.7,0.35,501,21.324411246087532,22.4214819007517,0.7337278106508875,0.1834319526627219,0.08284023668639054,0.03550295857988166,0.5798816568047337,0.38461538461538464,0.6745562130177515,0.3254437869822485,0.0,0.011834319526627219,0.07692307692307693,0.9112426035502958
1125,0.6,0.7,0.35,502,14.442586366135505,16.306228826714296,0.7936507936507936,0.15873015873015872,0.047619047619047616,0.19047619047619047,0.49206349206349204,0.31746031746031744,0.9365079365079365,0.047619047619047616,0.015873015873015872,0.5396825396825397,0.1111111111111111,0.3492063492063492
1126,0.6,0.7,0.35,503,7.453820301698027,10.449661969612986,0.5513245033112583,0.21026490066225165,0.23841059602649006,0.2814569536423841,0.42218543046357615,0.29635761589403975,0.7152317880794702,0.21688741721854304,0.06788079470198675,0.09602649006622517,0.08278145695364239,0.8211920529801324
1127,0.6,0.7,0.35,504,16.611963654780975,18.374774519240727,0.63,0.21,0.16,0.17,0.5,0.33,0.86,0.08,0.06,0.17,0.23,0.6
1128,0.6,0.7,0.35,505,11.832214120851953,14.340746513637955,0.5988372093023255,0.1569767441860465,0.2441860465116279,0.20930232558139536,0.48255813953488375,0.3081395348837209,0.8604651162790697,0.023255813953488372,0.11627906976744186,0.18023255813953487,0.1511627906976744,0.6686046511627907
1129,0.6,0.7,0.35,506,15.106340342799001,17.67181556511086,0.37037037037037035,0.4074074074074074,0.2222222222222222,0.19753086419753085,0.41975308641975306,0.38271604938271603,0.9629629629629629,0.0,0.037037037037037035,0.24691358024691357,0.49382716049382713,0.25925925925925924
1130,0.6,0.7,0.35,507,26.59069487850445,29.97173865384833,0.5054945054945055,0.37362637362637363,0.12087912087912088,0.4175824175824176,0.4065934065934066,0.17582417582417584,1.0,0.0,0.0,0.5274725274725275,0.4065934065934066,0.06593406593406594
1131,0.6,0.7,0.35,508,39.72303705217437,45.71153261317547,0.9240506329113924,0.056962025316455694,0.0189873417721519,0.3227848101265823,0.23417721518987342,0.4430379746835443,1.0,0.0,0.0,0.379746835443038,0.5822784810126582,0.0379746835443038
1132,0.6,0.7,0.35,509,21.231487821728074,25.87050343951998,0.7922077922077922,0.12337662337662338,0.08441558441558442,0.18831168831168832,0.38961038961038963,0.42207792207792205,0.9675324675324676,0.01948051948051948,0.012987012987012988,0.34415584415584416,0.42857142857142855,0.22727272727272727
1133,0.6,0.7,0.35,510,18.196176474566528,20.4669054750876,0.875,0.078125,0.046875,0.23958333333333334,0.40625,0.3541666666666667,0.9114583333333334,0.078125,0.010416666666666666,0.40625,0.234375,0.359375
