,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,FC_ADV,FC_ADV_AV,FC_ADV_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,MSL_ADV,MSL_ADV_AV,MSL_ADV_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
0,0,0.1,0.05,468,0.3189020323265038,5.0415082964046505,46.06741573033708,41.0,89.0,5.617977528089887,5.0,89.0,48.31460674157304,43.0,89.0,78.65168539325843,70.0,89.0,11.235955056179774,10.0,89.0,10.112359550561797,9.0,89.0,73.03370786516854,65.0,89.0,5.617977528089887,5.0,89.0,21.34831460674157,19.0,89.0,13.48314606741573,12.0,89.0,5.617977528089887,5.0,89.0,80.89887640449437,72.0,89.0,3.3707865168539324,3.0,89.0,7.865168539325842,7.0,89.0,88.76404494382022,79.0,89.0,42.69662921348314,38.0,89.0,5.617977528089887,5.0,89.0,51.68539325842697,46.0,89.0
1,0,0.1,0.05,469,0.2825020306619603,5.8636141468137986,75.2,94.0,125.0,3.2,4.0,125.0,21.6,27.0,125.0,54.400000000000006,68.0,125.0,36.0,45.0,125.0,9.6,12.0,125.0,83.2,104.0,125.0,2.4,3.0,125.0,14.399999999999999,18.0,125.0,4.8,6.0,125.0,28.000000000000004,35.0,125.0,67.2,84.0,125.0,10.4,13.0,125.0,28.000000000000004,35.0,125.0,61.6,77.0,125.0,51.2,64.0,125.0,24.8,31.0,125.0,24.0,30.0,125.0
2,0,0.1,0.05,470,1.3193034110482738,4.404450299234925,65.38461538461539,34.0,52.0,3.8461538461538463,2.0,52.0,30.76923076923077,16.0,52.0,50.0,26.0,52.0,34.61538461538461,18.0,52.0,15.384615384615385,8.0,52.0,67.3076923076923,35.0,52.0,5.769230769230769,3.0,52.0,26.923076923076923,14.0,52.0,3.8461538461538463,2.0,52.0,5.769230769230769,3.0,52.0,90.38461538461539,47.0,52.0,1.9230769230769231,1.0,52.0,9.615384615384617,5.0,52.0,88.46153846153845,46.0,52.0,53.84615384615385,28.0,52.0,26.923076923076923,14.0,52.0,19.230769230769234,10.0,52.0
3,0,0.1,0.05,471,0.3890655337937354,3.2636892726202937,47.540983606557376,29.0,61.0,0.0,0.0,61.0,52.459016393442624,32.0,61.0,55.73770491803278,34.0,61.0,39.34426229508197,24.0,61.0,4.918032786885246,3.0,61.0,59.01639344262295,36.0,61.0,3.278688524590164,2.0,61.0,37.704918032786885,23.0,61.0,0.0,0.0,61.0,11.475409836065573,7.0,61.0,88.52459016393442,54.0,61.0,0.0,0.0,61.0,4.918032786885246,3.0,61.0,95.08196721311475,58.0,61.0,77.04918032786885,47.0,61.0,6.557377049180328,4.0,61.0,16.39344262295082,10.0,61.0
4,0,0.1,0.05,472,0.3013594950910494,5.775755335633809,54.347826086956516,75.0,138.0,8.695652173913043,12.0,138.0,36.95652173913043,51.0,138.0,46.3768115942029,64.0,138.0,41.30434782608695,57.0,138.0,12.318840579710146,17.0,138.0,48.55072463768116,67.0,138.0,23.18840579710145,32.0,138.0,28.26086956521739,39.0,138.0,4.3478260869565215,6.0,138.0,11.594202898550725,16.0,138.0,84.05797101449275,116.0,138.0,0.0,0.0,138.0,2.1739130434782608,3.0,138.0,97.82608695652173,135.0,138.0,39.130434782608695,54.0,138.0,40.57971014492754,56.0,138.0,20.28985507246377,28.0,138.0
5,0,0.1,0.05,473,0.5122820986064791,3.760901482615834,37.03703703703704,10.0,27.0,0.0,0.0,27.0,62.96296296296296,17.0,27.0,51.85185185185185,14.0,27.0,48.148148148148145,13.0,27.0,0.0,0.0,27.0,51.85185185185185,14.0,27.0,0.0,0.0,27.0,48.148148148148145,13.0,27.0,0.0,0.0,27.0,3.7037037037037033,1.0,27.0,96.29629629629629,26.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,100.0,27.0,27.0,51.85185185185185,14.0,27.0,7.4074074074074066,2.0,27.0,40.74074074074074,11.0,27.0
6,0,0.1,0.05,474,0.6737866060224728,3.489521114110989,50.0,26.0,52.0,5.769230769230769,3.0,52.0,44.230769230769226,23.0,52.0,40.38461538461539,21.0,52.0,51.92307692307693,27.0,52.0,7.6923076923076925,4.0,52.0,71.15384615384616,37.0,52.0,19.230769230769234,10.0,52.0,9.615384615384617,5.0,52.0,5.769230769230769,3.0,52.0,7.6923076923076925,4.0,52.0,86.53846153846155,45.0,52.0,0.0,0.0,52.0,1.9230769230769231,1.0,52.0,98.07692307692307,51.0,52.0,63.46153846153846,33.0,52.0,25.0,13.0,52.0,11.538461538461538,6.0,52.0
7,0,0.1,0.05,475,0.7267515155042704,5.205433648013693,90.76923076923077,59.0,65.0,1.5384615384615385,1.0,65.0,7.6923076923076925,5.0,65.0,52.307692307692314,34.0,65.0,36.92307692307693,24.0,65.0,10.76923076923077,7.0,65.0,81.53846153846153,53.0,65.0,10.76923076923077,7.0,65.0,7.6923076923076925,5.0,65.0,27.692307692307693,18.0,65.0,24.615384615384617,16.0,65.0,47.69230769230769,31.0,65.0,1.5384615384615385,1.0,65.0,15.384615384615385,10.0,65.0,83.07692307692308,54.0,65.0,44.61538461538462,29.0,65.0,40.0,26.0,65.0,15.384615384615385,10.0,65.0
8,0,0.1,0.05,476,0.644935500933094,3.9082587710733834,45.348837209302324,39.0,86.0,3.488372093023256,3.0,86.0,51.162790697674424,44.0,86.0,74.4186046511628,64.0,86.0,20.930232558139537,18.0,86.0,4.651162790697675,4.0,86.0,33.72093023255814,29.0,86.0,51.162790697674424,44.0,86.0,15.11627906976744,13.0,86.0,4.651162790697675,4.0,86.0,8.13953488372093,7.0,86.0,87.20930232558139,75.0,86.0,0.0,0.0,86.0,3.488372093023256,3.0,86.0,96.51162790697676,83.0,86.0,47.674418604651166,41.0,86.0,23.25581395348837,20.0,86.0,29.069767441860467,25.0,86.0
9,0,0.1,0.05,477,0.447101568141849,5.219943753629418,80.0,56.0,70.0,1.4285714285714286,1.0,70.0,18.571428571428573,13.0,70.0,57.14285714285714,40.0,70.0,38.57142857142858,27.0,70.0,4.285714285714286,3.0,70.0,51.42857142857142,36.0,70.0,35.714285714285715,25.0,70.0,12.857142857142856,9.0,70.0,22.857142857142858,16.0,70.0,12.857142857142856,9.0,70.0,64.28571428571429,45.0,70.0,1.4285714285714286,1.0,70.0,15.714285714285714,11.0,70.0,82.85714285714286,58.0,70.0,44.285714285714285,31.0,70.0,32.857142857142854,23.0,70.0,22.857142857142858,16.0,70.0
10,0,0.1,0.05,478,2.625797372566539,5.824423825108353,78.94736842105263,15.0,19.0,0.0,0.0,19.0,21.052631578947366,4.0,19.0,47.368421052631575,9.0,19.0,10.526315789473683,2.0,19.0,42.10526315789473,8.0,19.0,84.21052631578947,16.0,19.0,5.263157894736842,1.0,19.0,10.526315789473683,2.0,19.0,52.63157894736842,10.0,19.0,15.789473684210526,3.0,19.0,31.57894736842105,6.0,19.0,0.0,0.0,19.0,10.526315789473683,2.0,19.0,89.47368421052632,17.0,19.0,15.789473684210526,3.0,19.0,21.052631578947366,4.0,19.0,63.1578947368421,12.0,19.0
11,0,0.1,0.05,479,0.7124221515124457,4.450797878218224,67.03296703296702,61.0,91.0,10.989010989010989,10.0,91.0,21.978021978021978,20.0,91.0,57.14285714285714,52.0,91.0,38.46153846153847,35.0,91.0,4.395604395604396,4.0,91.0,83.51648351648352,76.0,91.0,6.593406593406594,6.0,91.0,9.89010989010989,9.0,91.0,23.076923076923077,21.0,91.0,15.384615384615385,14.0,91.0,61.53846153846154,56.0,91.0,0.0,0.0,91.0,1.098901098901099,1.0,91.0,98.9010989010989,90.0,91.0,58.24175824175825,53.0,91.0,32.967032967032964,30.0,91.0,8.791208791208792,8.0,91.0
12,0,0.1,0.05,480,1.9066164278223092,6.32935745889545,50.0,31.0,62.0,1.6129032258064515,1.0,62.0,48.38709677419355,30.0,62.0,61.29032258064516,38.0,62.0,30.64516129032258,19.0,62.0,8.064516129032258,5.0,62.0,59.67741935483871,37.0,62.0,29.03225806451613,18.0,62.0,11.29032258064516,7.0,62.0,11.29032258064516,7.0,62.0,40.32258064516129,25.0,62.0,48.38709677419355,30.0,62.0,0.0,0.0,62.0,8.064516129032258,5.0,62.0,91.93548387096774,57.0,62.0,45.16129032258064,28.0,62.0,48.38709677419355,30.0,62.0,6.451612903225806,4.0,62.0
13,0,0.1,0.05,481,0.10089243824369076,5.094153571305682,65.4320987654321,53.0,81.0,4.938271604938271,4.0,81.0,29.629629629629626,24.0,81.0,66.66666666666666,54.0,81.0,23.456790123456788,19.0,81.0,9.876543209876543,8.0,81.0,72.8395061728395,59.0,81.0,17.28395061728395,14.0,81.0,9.876543209876543,8.0,81.0,16.049382716049383,13.0,81.0,20.98765432098765,17.0,81.0,62.96296296296296,51.0,81.0,1.2345679012345678,1.0,81.0,2.4691358024691357,2.0,81.0,96.29629629629629,78.0,81.0,44.44444444444444,36.0,81.0,29.629629629629626,24.0,81.0,25.925925925925924,21.0,81.0
