attribute,BF_RUD,BF_RUD,BF_RUD,BF_INT,BF_INT,BF_INT,BF_ADV,BF_ADV,BF_ADV,CHH_RUD,CHH_RUD,CHH_RUD,CHH_INT,CHH_INT,CHH_INT,CHH_ADV,CHH_ADV,CHH_ADV,FC_RUD,FC_RUD,FC_RUD,FC_INT,FC_INT,FC_INT,FC_ADV,FC_ADV,FC_ADV,MSW_RUD,MSW_RUD,MSW_RUD,MSW_INT,MSW_INT,MSW_INT,MSW_ADV,MSW_ADV,MSW_ADV,MSL_RUD,MSL_RUD,MSL_RUD,MSL_INT,MSL_INT,MSL_INT,MSL_ADV,MSL_ADV,MSL_ADV,EMP_UN,EMP_UN,EMP_UN,EMP_AL,EMP_AL,EMP_AL,EMP_NAL,EMP_NAL,EMP_NAL
salient_info,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance
214,97.78,99.1,26.99,0.0,0.0,26.99,2.22,0.9,26.99,4.44,4.27,26.99,48.89,40.45,26.99,46.67,55.28,26.99,17.78,16.18,26.99,82.22,83.82,26.99,0.0,0.0,26.99,0.0,0.45,26.99,100.0,99.33,26.99,0.0,0.22,26.99,95.56,95.96,26.99,4.44,3.6,26.99,0.0,0.45,26.99,86.67,85.84,26.99,8.89,12.81,26.99,4.44,1.35,26.99
215,72.73,92.34,36.86,0.91,0.64,36.86,26.36,7.02,36.86,20.91,11.58,36.86,49.09,53.97,36.86,30.0,34.46,36.86,41.82,31.91,36.86,40.0,66.0,36.86,18.18,2.1,36.86,1.82,0.46,36.86,97.27,99.27,36.86,0.91,0.27,36.86,44.55,83.23,36.86,49.09,15.41,36.86,6.36,1.37,36.86,65.45,86.6,36.86,5.45,8.48,36.86,29.09,4.92,36.86
216,71.1,92.29,35.63,0.0,0.35,35.63,28.9,7.36,35.63,16.76,7.59,35.63,42.77,44.26,35.63,40.46,48.15,35.63,51.45,42.0,35.63,30.64,55.97,35.63,17.92,2.03,35.63,0.0,0.35,35.63,98.84,99.25,35.63,1.16,0.41,35.63,60.69,86.33,35.63,24.86,11.53,35.63,14.45,2.14,35.63,66.47,88.99,35.63,3.47,5.27,35.63,30.06,5.74,35.63
217,85.82,94.31,29.21,0.71,0.36,29.21,13.48,5.33,29.21,12.06,13.87,29.21,56.03,46.59,29.21,31.91,39.54,29.21,46.81,45.45,29.21,50.35,53.27,29.21,2.84,1.28,29.21,0.0,0.07,29.21,98.58,97.51,29.21,1.42,2.42,29.21,77.3,80.94,29.21,21.99,17.0,29.21,0.71,2.06,29.21,95.74,92.82,29.21,0.71,5.26,29.21,3.55,1.92,29.21
218,91.72,94.4,33.3,0.0,0.21,33.3,8.28,5.39,33.3,20.0,17.76,33.3,62.07,57.15,33.3,17.93,25.09,33.3,66.9,54.8,33.3,31.72,44.51,33.3,1.38,0.69,33.3,0.0,0.07,33.3,100.0,98.41,33.3,0.0,1.52,33.3,75.17,93.64,33.3,23.45,5.81,33.3,1.38,0.55,33.3,88.97,95.3,33.3,7.59,3.39,33.3,3.45,1.31,33.3
219,89.87,95.74,38.0,0.0,0.19,38.0,10.13,4.07,38.0,15.19,13.1,38.0,54.43,55.28,38.0,30.38,31.62,38.0,50.0,52.35,38.0,44.94,46.63,38.0,5.06,1.02,38.0,3.8,0.83,38.0,94.94,98.16,38.0,1.27,1.02,38.0,65.82,88.3,38.0,27.85,10.56,38.0,6.33,1.15,38.0,93.67,96.25,38.0,2.53,2.42,38.0,3.8,1.34,38.0
220,68.75,88.26,30.34,0.69,0.42,30.34,30.56,11.32,30.34,19.44,7.34,30.34,31.94,42.7,30.34,48.61,49.97,30.34,35.42,48.99,30.34,55.56,49.2,30.34,9.03,1.82,30.34,4.17,1.68,30.34,95.83,97.83,30.34,0.0,0.49,30.34,66.67,88.54,30.34,29.86,10.55,30.34,3.47,0.91,30.34,86.81,91.26,30.34,2.78,4.05,30.34,10.42,4.68,30.34
221,82.76,95.51,37.45,0.0,0.43,37.45,17.24,4.06,37.45,3.45,4.15,37.45,48.28,46.5,37.45,48.28,49.35,37.45,51.72,28.26,37.45,36.21,70.1,37.45,12.07,1.64,37.45,0.0,0.35,37.45,99.14,99.22,37.45,0.86,0.43,37.45,68.1,91.36,37.45,29.31,8.04,37.45,2.59,0.61,37.45,71.55,90.58,37.45,1.72,5.1,37.45,26.72,4.32,37.45
222,67.12,87.65,34.35,4.11,1.37,34.35,28.77,10.97,34.35,9.59,4.94,34.35,50.68,47.87,34.35,39.73,47.19,34.35,50.68,28.26,34.35,43.84,70.78,34.35,5.48,0.96,34.35,0.0,0.82,34.35,98.63,97.94,34.35,1.37,1.23,34.35,45.21,85.6,34.35,36.99,11.66,34.35,17.81,2.74,34.35,75.34,85.46,34.35,8.22,7.41,34.35,16.44,7.13,34.35
223,84.62,92.94,32.35,0.0,0.0,32.35,15.38,7.06,32.35,15.38,7.45,32.35,73.08,53.73,32.35,11.54,38.82,32.35,26.92,13.73,32.35,65.38,85.49,32.35,7.69,0.78,32.35,0.0,0.78,32.35,100.0,98.82,32.35,0.0,0.39,32.35,57.69,91.37,32.35,38.46,8.24,32.35,3.85,0.39,32.35,84.62,90.2,32.35,3.85,6.27,32.35,11.54,3.53,32.35
