attribute,BF_RUD,BF_RUD,BF_RUD,BF_INT,BF_INT,BF_INT,BF_ADV,BF_ADV,BF_ADV,CHH_RUD,CHH_RUD,CHH_RUD,CHH_INT,CHH_INT,CHH_INT,CHH_ADV,CHH_ADV,CHH_ADV,FC_RUD,FC_RUD,FC_RUD,FC_INT,FC_INT,FC_INT,FC_ADV,FC_ADV,FC_ADV,MSW_RUD,MSW_RUD,MSW_RUD,MSW_INT,MSW_INT,MSW_INT,MSW_ADV,MSW_ADV,MSW_ADV,MSL_RUD,MSL_RUD,MSL_RUD,MSL_INT,MSL_INT,MSL_INT,MSL_ADV,MSL_ADV,MSL_ADV,EMP_UN,EMP_UN,EMP_UN,EMP_AL,EMP_AL,EMP_AL,EMP_NAL,EMP_NAL,EMP_NAL
salient_info,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance
373,100.0,98.88,34.03,0.0,0.0,34.03,0.0,1.12,34.03,5.56,3.09,34.03,5.56,8.56,34.03,88.89,88.36,34.03,100.0,99.58,34.03,0.0,0.28,34.03,0.0,0.14,34.03,26.39,23.7,34.03,73.61,74.89,34.03,0.0,1.4,34.03,59.72,63.67,34.03,38.89,30.58,34.03,1.39,5.75,34.03,51.39,37.73,34.03,34.72,54.42,34.03,13.89,7.85,34.03
374,94.71,98.59,43.2,0.0,0.18,43.2,5.29,1.24,43.2,10.0,7.77,43.2,18.82,12.72,43.2,71.18,79.51,43.2,90.0,97.64,43.2,7.06,1.65,43.2,2.94,0.71,43.2,26.47,30.45,43.2,67.65,67.43,43.2,5.88,2.12,43.2,44.12,67.49,43.2,41.76,27.86,43.2,14.12,4.65,43.2,35.29,51.3,43.2,17.65,33.39,43.2,47.06,15.31,43.2
375,90.34,95.64,41.24,0.48,1.6,41.24,9.18,2.76,41.24,9.18,9.65,41.24,23.19,15.75,41.24,67.63,74.6,41.24,83.09,83.18,41.24,11.11,15.66,41.24,5.8,1.16,41.24,40.58,29.52,41.24,52.66,68.59,41.24,6.76,1.89,41.24,50.24,70.67,41.24,36.23,23.07,41.24,13.53,6.25,41.24,38.65,52.11,41.24,14.01,37.52,41.24,47.34,10.37,41.24
376,84.1,90.08,46.81,11.05,5.93,46.81,4.85,3.99,46.81,9.16,8.01,46.81,17.52,14.96,46.81,73.32,77.03,46.81,87.33,87.19,46.81,12.67,12.43,46.81,0.0,0.38,46.81,51.21,47.24,46.81,47.98,50.8,46.81,0.81,1.97,46.81,70.35,75.01,46.81,25.88,21.87,46.81,3.77,3.13,46.81,52.02,49.88,46.81,27.49,39.01,46.81,20.49,11.11,46.81
377,88.68,86.02,46.41,2.26,9.55,46.41,9.06,4.43,46.41,15.85,9.24,46.41,23.4,26.14,46.41,60.75,64.62,46.41,53.21,39.02,46.41,40.75,60.08,46.41,6.04,0.91,46.41,2.64,3.79,46.41,90.94,91.17,46.41,6.42,5.04,46.41,12.08,15.68,46.41,50.57,56.06,46.41,37.36,28.26,46.41,58.49,70.15,46.41,8.3,21.06,46.41,33.21,8.79,46.41
378,95.97,97.08,35.52,1.61,1.46,35.52,2.42,1.46,35.52,8.87,8.67,35.52,31.45,26.42,35.52,59.68,64.91,35.52,4.84,6.24,35.52,92.74,93.44,35.52,2.42,0.32,35.52,0.81,1.54,35.52,98.39,97.16,35.52,0.81,1.3,35.52,16.94,22.2,35.52,59.68,57.46,35.52,23.39,20.34,35.52,85.48,94.65,35.52,4.84,2.43,35.52,9.68,2.92,35.52
379,90.85,96.46,29.0,2.82,0.78,29.0,6.34,2.76,29.0,16.2,12.38,29.0,51.41,37.55,29.0,32.39,50.07,29.0,23.94,13.37,29.0,71.13,85.86,29.0,4.93,0.78,29.0,4.93,2.97,29.0,86.62,94.34,29.0,8.45,2.69,29.0,6.34,20.16,29.0,65.49,60.75,29.0,28.17,19.09,29.0,84.51,87.55,29.0,2.11,6.79,29.0,13.38,5.66,29.0
380,89.43,91.84,33.63,3.25,0.98,33.63,7.32,7.18,33.63,22.76,13.78,33.63,53.66,40.29,33.63,23.58,45.92,33.63,44.72,32.95,33.63,52.03,66.39,33.63,3.25,0.65,33.63,0.0,2.12,33.63,98.37,92.66,33.63,1.63,5.22,33.63,1.63,12.89,33.63,69.11,69.98,33.63,29.27,17.13,33.63,72.36,84.18,33.63,4.07,5.3,33.63,23.58,10.52,33.63
381,97.86,92.72,39.11,0.0,1.02,39.11,2.14,6.27,39.11,10.7,11.68,39.11,35.83,40.22,39.11,53.48,48.1,39.11,77.01,55.28,39.11,20.86,43.87,39.11,2.14,0.86,39.11,44.92,25.5,39.11,47.59,69.74,39.11,7.49,4.77,39.11,17.11,16.01,39.11,57.75,66.52,39.11,25.13,17.46,39.11,62.57,73.81,39.11,8.02,6.7,39.11,29.41,19.5,39.11
382,92.86,93.63,27.35,1.3,1.69,27.35,5.84,4.68,27.35,3.9,5.66,27.35,31.17,31.6,27.35,64.94,62.74,27.35,37.66,29.13,27.35,59.74,70.09,27.35,2.6,0.78,27.35,36.36,32.12,27.35,59.74,66.12,27.35,3.9,1.76,27.35,25.97,24.51,27.35,58.44,62.81,27.35,15.58,12.68,27.35,66.88,82.96,27.35,3.25,2.54,27.35,29.87,14.5,27.35
383,90.65,93.73,29.06,0.0,2.06,29.06,9.35,4.21,29.06,14.02,5.14,29.06,34.58,21.33,29.06,51.4,73.53,29.06,74.77,89.06,29.06,20.56,9.45,29.06,4.67,1.5,29.06,55.14,65.67,29.06,39.25,31.9,29.06,5.61,2.43,29.06,19.63,39.66,29.06,56.07,48.64,29.06,24.3,11.69,29.06,45.79,67.73,29.06,6.54,9.54,29.06,47.66,22.73,29.06
384,88.62,92.03,44.25,0.6,2.04,44.25,10.78,5.94,44.25,19.16,9.59,44.25,31.14,17.63,44.25,49.7,72.78,44.25,58.08,88.19,44.25,35.33,9.35,44.25,6.59,2.46,44.25,55.09,46.4,44.25,34.73,49.04,44.25,10.18,4.56,44.25,24.55,48.5,44.25,46.11,34.29,44.25,29.34,17.21,44.25,45.51,50.0,44.25,8.98,30.4,44.25,45.51,19.6,44.25
385,96.15,95.43,52.48,0.0,1.22,52.48,3.85,3.34,52.48,5.77,10.42,52.48,21.15,17.36,52.48,73.08,72.22,52.48,79.49,90.55,52.48,20.51,9.2,52.48,0.0,0.26,52.48,24.36,41.16,52.48,62.18,51.06,52.48,13.46,7.78,52.48,9.62,28.04,52.48,57.69,39.94,52.48,32.69,32.03,52.48,85.26,69.39,52.48,5.77,20.96,52.48,8.97,9.65,52.48
386,91.24,94.13,29.32,0.73,1.17,29.32,8.03,4.7,29.32,16.79,9.68,29.32,37.96,31.77,29.32,45.26,58.55,29.32,72.26,67.28,29.32,24.82,30.96,29.32,2.92,1.76,29.32,40.88,48.13,29.32,51.09,45.41,29.32,8.03,6.46,29.32,0.73,13.43,29.32,42.34,59.79,29.32,56.93,26.78,29.32,50.36,66.1,29.32,1.46,6.31,29.32,48.18,27.59,29.32
387,92.5,95.67,34.02,0.62,0.82,34.02,6.88,3.52,34.02,11.88,7.29,34.02,42.5,25.5,34.02,45.62,67.21,34.02,33.75,28.64,34.02,64.38,70.54,34.02,1.88,0.82,34.02,8.75,14.07,34.02,90.62,82.41,34.02,0.62,3.52,34.02,5.0,18.03,34.02,61.88,65.77,34.02,33.12,16.21,34.02,70.0,80.4,34.02,7.5,7.98,34.02,22.5,11.62,34.02
388,81.47,91.71,47.01,1.93,1.98,47.01,16.6,6.32,47.01,18.15,10.46,47.01,40.93,27.28,47.01,40.93,62.26,47.01,73.75,87.95,47.01,17.37,10.23,47.01,8.88,1.82,47.01,33.98,35.65,47.01,36.29,53.2,47.01,29.73,11.16,47.01,6.18,30.57,47.01,74.52,57.23,47.01,19.31,12.2,47.01,59.85,54.44,47.01,6.56,32.2,47.01,33.59,13.37,47.01
389,93.06,88.31,68.23,2.08,4.11,68.23,4.86,7.59,68.23,13.19,15.45,68.23,27.08,12.6,68.23,59.72,71.96,68.23,97.22,99.37,68.23,0.0,0.14,68.23,2.78,0.49,68.23,48.61,58.87,68.23,36.81,29.16,68.23,14.58,11.97,68.23,24.31,38.83,68.23,50.0,36.26,68.23,25.69,24.91,68.23,31.94,24.63,68.23,58.33,71.47,68.23,9.72,3.9,68.23
390,99.58,98.57,64.73,0.0,0.59,64.73,0.42,0.84,64.73,21.43,13.72,64.73,18.49,13.72,64.73,60.08,72.56,64.73,99.58,99.79,64.73,0.0,0.17,64.73,0.42,0.04,64.73,82.35,81.99,64.73,17.23,17.89,64.73,0.42,0.13,64.73,83.19,93.01,64.73,16.39,6.02,64.73,0.42,0.97,64.73,51.26,40.36,64.73,39.5,52.95,64.73,9.24,6.69,64.73
391,98.18,95.97,48.93,0.91,2.2,48.93,0.91,1.83,48.93,8.18,13.02,48.93,13.64,8.43,48.93,78.18,78.55,48.93,76.36,95.23,48.93,23.64,4.77,48.93,0.0,0.0,48.93,14.55,20.99,48.93,83.64,78.55,48.93,1.82,0.46,48.93,68.18,89.18,48.93,28.18,9.35,48.93,3.64,1.47,48.93,39.09,34.65,48.93,50.0,59.3,48.93,10.91,6.05,48.93
392,97.65,98.46,27.08,1.18,0.59,27.08,1.18,0.95,27.08,7.06,5.44,27.08,7.06,13.83,27.08,85.88,80.73,27.08,88.24,92.2,27.08,11.76,7.8,27.08,0.0,0.0,27.08,11.76,10.28,27.08,85.88,87.94,27.08,2.35,1.77,27.08,51.76,66.9,27.08,40.0,29.31,27.08,8.24,3.78,27.08,48.24,48.35,27.08,31.76,43.26,27.08,20.0,8.39,27.08
393,97.73,95.33,40.5,0.0,2.11,40.5,2.27,2.56,40.5,7.39,9.52,40.5,19.32,19.49,40.5,73.3,71.0,40.5,98.3,96.81,40.5,1.7,3.19,40.5,0.0,0.0,40.5,10.23,9.57,40.5,85.23,87.07,40.5,4.55,3.36,40.5,52.84,73.16,40.5,44.89,25.3,40.5,2.27,1.54,40.5,60.23,58.4,40.5,15.91,33.85,40.5,23.86,7.75,40.5
394,89.55,94.73,41.36,4.48,3.46,41.36,5.97,1.81,41.36,17.91,11.9,41.36,25.37,14.61,41.36,56.72,73.49,41.36,92.54,98.34,41.36,1.49,1.05,41.36,5.97,0.6,41.36,10.45,16.11,41.36,85.07,80.72,41.36,4.48,3.16,41.36,37.31,66.72,41.36,47.76,28.01,41.36,14.93,5.27,41.36,50.75,35.69,41.36,28.36,59.94,41.36,20.9,4.37,41.36
395,98.05,96.33,56.71,0.0,0.93,56.71,1.95,2.74,56.71,12.2,8.67,56.71,24.39,14.35,56.71,63.41,76.98,56.71,98.54,98.09,56.71,0.49,1.76,56.71,0.98,0.15,56.71,10.73,17.73,56.71,85.85,79.73,56.71,3.41,2.55,56.71,60.0,80.22,56.71,34.15,14.89,56.71,5.85,4.9,56.71,43.9,47.5,56.71,33.66,46.08,56.71,22.44,6.42,56.71
396,97.25,98.16,63.93,0.0,0.65,63.93,2.75,1.2,63.93,11.01,10.69,63.93,15.6,10.41,63.93,73.39,78.89,63.93,98.17,99.26,63.93,0.46,0.37,63.93,1.38,0.37,63.93,17.89,21.8,63.93,76.61,74.19,63.93,5.5,4.01,63.93,77.52,88.94,63.93,18.35,9.26,63.93,4.13,1.8,63.93,33.49,36.04,63.93,58.72,60.14,63.93,7.8,3.82,63.93
397,98.73,98.34,51.71,1.27,1.02,51.71,0.0,0.64,51.71,13.92,13.3,51.71,13.92,23.66,51.71,72.15,63.04,51.71,89.87,92.97,51.71,10.13,7.03,51.71,0.0,0.0,51.71,8.86,8.06,51.71,89.87,90.54,51.71,1.27,1.41,51.71,84.81,93.86,51.71,12.66,5.75,51.71,2.53,0.38,51.71,43.04,36.83,51.71,44.3,59.46,51.71,12.66,3.71,51.71
398,96.79,97.8,56.34,0.53,0.59,56.34,2.67,1.61,56.34,15.51,16.1,56.34,24.06,18.2,56.34,60.43,65.7,56.34,97.33,98.07,56.34,1.6,1.34,56.34,1.07,0.59,56.34,13.37,28.4,56.34,78.07,66.99,56.34,8.56,4.62,56.34,71.66,86.9,56.34,25.67,9.29,56.34,2.67,3.81,56.34,23.53,20.88,56.34,54.55,73.16,56.34,21.93,5.96,56.34
399,98.73,97.95,67.49,0.0,0.77,67.49,1.27,1.28,67.49,2.53,12.8,67.49,17.72,14.85,67.49,79.75,72.34,67.49,97.47,99.62,67.49,2.53,0.38,67.49,0.0,0.0,67.49,29.11,30.6,67.49,68.35,67.99,67.49,2.53,1.41,67.49,89.87,91.29,67.49,7.59,7.43,67.49,2.53,1.28,67.49,22.78,18.82,67.49,74.68,79.0,67.49,2.53,2.18,67.49
468,46.07,59.1,62.54,5.62,7.01,62.54,48.31,33.9,62.54,78.65,70.17,62.54,11.24,18.31,62.54,10.11,11.53,62.54,73.03,87.01,62.54,5.62,3.73,62.54,21.35,9.27,62.54,13.48,12.2,62.54,5.62,5.2,62.54,80.9,82.6,62.54,3.37,3.62,62.54,7.87,10.96,62.54,88.76,85.42,62.54,42.7,53.56,62.54,5.62,18.87,62.54,51.69,27.57,62.54
469,75.2,90.27,45.89,3.2,2.17,45.89,21.6,7.56,45.89,54.4,42.04,45.89,36.0,39.95,45.89,9.6,18.01,45.89,83.2,90.35,45.89,2.4,6.35,45.89,14.4,3.3,45.89,4.8,10.13,45.89,28.0,34.97,45.89,67.2,54.9,45.89,10.4,7.64,45.89,28.0,43.73,45.89,61.6,48.63,45.89,51.2,48.23,45.89,24.8,42.6,45.89,24.0,9.16,45.89
470,65.38,69.69,36.34,3.85,8.11,36.34,30.77,22.2,36.34,50.0,42.28,36.34,34.62,44.59,36.34,15.38,13.13,36.34,67.31,83.59,36.34,5.77,5.6,36.34,26.92,10.81,36.34,3.85,7.53,36.34,5.77,5.79,36.34,90.38,86.68,36.34,1.92,1.54,36.34,9.62,22.97,36.34,88.46,75.48,36.34,53.85,49.03,36.34,26.92,44.98,36.34,19.23,5.98,36.34
471,47.54,56.15,27.34,0.0,3.65,27.34,52.46,40.2,27.34,55.74,53.16,27.34,39.34,39.37,27.34,4.92,7.48,27.34,59.02,53.65,27.34,3.28,8.8,27.34,37.7,37.54,27.34,0.0,1.99,27.34,11.48,6.31,27.34,88.52,91.69,27.34,0.0,0.17,27.34,4.92,4.98,27.34,95.08,94.85,27.34,77.05,56.64,27.34,6.56,27.91,27.34,16.39,15.45,27.34
472,54.35,71.39,35.49,8.7,5.66,35.49,36.96,22.95,35.49,46.38,44.3,35.49,41.3,35.44,35.49,12.32,20.26,35.49,48.55,64.42,35.49,23.19,20.33,35.49,28.26,15.25,35.49,4.35,9.95,35.49,11.59,35.95,35.49,84.06,54.1,35.49,0.0,0.44,35.49,2.17,4.36,35.49,97.83,95.21,35.49,39.13,39.14,35.49,40.58,49.75,35.49,20.29,11.11,35.49
473,37.04,47.94,22.22,0.0,1.87,22.22,62.96,50.19,22.22,51.85,43.82,22.22,48.15,50.19,22.22,0.0,5.99,22.22,51.85,55.43,22.22,0.0,6.74,22.22,48.15,37.83,22.22,0.0,0.0,22.22,3.7,6.37,22.22,96.3,93.63,22.22,0.0,0.0,22.22,0.0,1.12,22.22,100.0,98.88,22.22,51.85,60.67,22.22,7.41,21.72,22.22,40.74,17.6,22.22
474,50.0,66.47,33.51,5.77,5.46,33.51,44.23,28.07,33.51,40.38,41.52,33.51,51.92,45.22,33.51,7.69,13.26,33.51,71.15,78.56,33.51,19.23,16.57,33.51,9.62,4.87,33.51,5.77,14.81,33.51,7.69,8.58,33.51,86.54,76.61,33.51,0.0,0.0,33.51,1.92,2.53,33.51,98.08,97.47,33.51,63.46,64.33,33.51,25.0,28.46,33.51,11.54,7.21,33.51
475,90.77,91.06,43.91,1.54,1.69,43.91,7.69,7.24,43.91,52.31,48.84,43.91,36.92,37.6,43.91,10.77,13.56,43.91,81.54,71.96,43.91,10.77,21.26,43.91,7.69,6.78,43.91,27.69,26.5,43.91,24.62,13.41,43.91,47.69,60.09,43.91,1.54,2.0,43.91,15.38,15.41,43.91,83.08,82.59,43.91,44.62,48.23,43.91,40.0,47.46,43.91,15.38,4.31,43.91
476,45.35,52.1,29.31,3.49,9.0,29.31,51.16,38.9,29.31,74.42,66.0,29.31,20.93,30.26,29.31,4.65,3.74,29.31,33.72,30.84,29.31,51.16,56.31,29.31,15.12,12.85,29.31,4.65,7.13,29.31,8.14,13.55,29.31,87.21,79.32,29.31,0.0,0.12,29.31,3.49,3.74,29.31,96.51,96.14,29.31,47.67,46.26,29.31,23.26,44.51,29.31,29.07,9.23,29.31
477,80.0,72.44,31.11,1.43,5.92,31.11,18.57,21.65,31.11,57.14,59.88,31.11,38.57,31.46,31.11,4.29,8.66,31.11,51.43,55.41,31.11,35.71,38.53,31.11,12.86,6.06,31.11,22.86,22.22,31.11,12.86,18.18,31.11,64.29,59.6,31.11,1.43,3.17,31.11,15.71,10.53,31.11,82.86,86.29,31.11,44.29,45.74,31.11,32.86,44.73,31.11,22.86,9.52,31.11
478,78.95,70.88,29.29,0.0,18.13,29.29,21.05,10.99,29.29,47.37,49.45,29.29,10.53,31.32,29.29,42.11,19.23,29.29,84.21,83.52,29.29,5.26,13.74,29.29,10.53,2.75,29.29,52.63,41.21,29.29,15.79,12.64,29.29,31.58,46.15,29.29,0.0,0.0,29.29,10.53,6.04,29.29,89.47,93.96,29.29,15.79,42.86,29.29,21.05,37.36,29.29,63.16,19.78,29.29
479,67.03,50.55,46.7,10.99,19.09,46.7,21.98,30.35,46.7,57.14,55.08,46.7,38.46,33.0,46.7,4.4,11.92,46.7,83.52,71.41,46.7,6.59,17.0,46.7,9.89,11.59,46.7,23.08,21.63,46.7,15.38,15.67,46.7,61.54,62.69,46.7,0.0,1.43,46.7,1.1,3.42,46.7,98.9,95.14,46.7,58.24,39.85,46.7,32.97,52.21,46.7,8.79,7.95,46.7
480,50.0,35.33,42.66,1.61,17.18,42.66,48.39,47.49,42.66,61.29,67.42,42.66,30.65,26.09,42.66,8.06,6.48,42.66,59.68,49.92,42.66,29.03,37.44,42.66,11.29,12.64,42.66,11.29,7.78,42.66,40.32,27.23,42.66,48.39,64.99,42.66,0.0,0.0,42.66,8.06,4.38,42.66,91.94,95.62,42.66,45.16,44.89,42.66,48.39,53.16,42.66,6.45,1.94,42.66
481,65.43,68.62,27.52,4.94,2.37,27.52,29.63,29.02,27.52,66.67,58.9,27.52,23.46,32.13,27.52,9.88,8.97,27.52,72.84,65.38,27.52,17.28,26.03,27.52,9.88,8.59,27.52,16.05,14.94,27.52,20.99,19.05,27.52,62.96,66.0,27.52,1.23,0.37,27.52,2.47,7.85,27.52,96.3,91.78,27.52,44.44,50.93,27.52,29.63,37.11,27.52,25.93,11.96,27.52
482,44.44,61.43,17.6,2.78,6.0,17.6,52.78,32.57,17.6,44.44,35.14,17.6,50.0,57.14,17.6,5.56,7.71,17.6,61.11,79.14,17.6,0.0,5.14,17.6,38.89,15.71,17.6,0.0,5.43,17.6,2.78,7.14,17.6,97.22,87.43,17.6,0.0,0.0,17.6,2.78,5.43,17.6,97.22,94.57,17.6,66.67,62.86,17.6,19.44,33.43,17.6,13.89,3.71,17.6
483,75.81,85.25,23.77,3.23,2.59,23.77,20.97,12.16,23.77,41.94,34.04,23.77,53.23,54.29,23.77,4.84,11.67,23.77,82.26,82.66,23.77,8.06,12.48,23.77,9.68,4.86,23.77,3.23,4.86,23.77,22.58,27.88,23.77,74.19,67.26,23.77,0.0,0.65,23.77,17.74,24.8,23.77,82.26,74.55,23.77,70.97,61.43,23.77,22.58,33.87,23.77,6.45,4.7,23.77
484,70.25,83.92,37.56,11.57,5.5,37.56,18.18,10.58,37.56,48.76,28.08,37.56,33.06,40.17,37.56,18.18,31.75,37.56,71.9,88.83,37.56,5.79,5.33,37.56,22.31,5.83,37.56,26.45,28.25,37.56,45.45,53.5,37.56,28.1,18.25,37.56,0.0,0.58,37.56,5.79,6.08,37.56,94.21,93.33,37.56,44.63,36.25,37.56,37.19,59.17,37.56,18.18,4.58,37.56
485,97.14,97.4,31.12,0.0,0.72,31.12,2.86,1.88,31.12,15.71,17.6,31.12,48.57,36.94,31.12,35.71,45.45,31.12,91.43,91.05,31.12,5.71,7.94,31.12,2.86,1.01,31.12,64.29,56.85,31.12,32.86,41.13,31.12,2.86,2.02,31.12,4.29,5.05,31.12,51.43,38.1,31.12,44.29,56.85,31.12,38.57,26.41,31.12,54.29,71.43,31.12,7.14,2.16,31.12
486,59.87,79.04,40.23,3.82,3.4,40.23,36.31,17.56,40.23,37.58,31.99,40.23,48.41,39.42,40.23,14.01,28.59,40.23,67.52,77.95,40.23,10.19,15.19,40.23,22.29,6.86,40.23,0.64,7.12,40.23,21.02,47.37,40.23,78.34,45.51,40.23,1.27,2.31,40.23,3.18,15.51,40.23,95.54,82.18,40.23,55.41,33.53,40.23,29.3,62.82,40.23,15.29,3.65,40.23
487,83.93,90.7,36.04,3.57,3.76,36.04,12.5,5.55,36.04,42.86,42.75,36.04,16.07,26.3,36.04,41.07,30.95,36.04,85.71,87.3,36.04,1.79,10.55,36.04,12.5,2.15,36.04,1.79,5.19,36.04,50.0,68.69,36.04,48.21,26.12,36.04,0.0,2.15,36.04,10.71,12.16,36.04,89.29,85.69,36.04,53.57,26.48,36.04,35.71,71.2,36.04,10.71,2.33,36.04
488,43.28,57.4,29.24,2.99,5.98,29.24,53.73,36.62,29.24,55.22,48.28,29.24,32.84,34.08,29.24,11.94,17.64,29.24,52.24,76.98,29.24,17.91,12.71,29.24,29.85,10.31,29.24,1.49,7.47,29.24,11.94,23.02,29.24,86.57,69.51,29.24,0.0,0.6,29.24,10.45,9.72,29.24,89.55,89.69,29.24,49.25,45.59,29.24,10.45,44.25,29.24,40.3,10.16,29.24
489,87.5,74.6,40.01,3.12,11.9,40.01,9.38,13.5,40.01,65.62,56.59,40.01,9.38,20.26,40.01,25.0,23.15,40.01,100.0,99.36,40.01,0.0,0.0,40.01,0.0,0.64,40.01,31.25,33.76,40.01,50.0,47.91,40.01,18.75,18.33,40.01,25.0,16.08,40.01,53.12,43.09,40.01,21.88,40.84,40.01,9.38,7.07,40.01,90.62,91.32,40.01,0.0,1.61,40.01
490,48.72,50.13,36.86,0.0,3.12,36.86,51.28,46.75,36.86,64.1,53.51,36.86,25.64,40.0,36.86,10.26,6.49,36.86,53.85,74.29,36.86,0.0,1.3,36.86,46.15,24.42,36.86,7.69,5.97,36.86,33.33,49.35,36.86,58.97,44.68,36.86,0.0,0.26,36.86,2.56,7.53,36.86,97.44,92.21,36.86,28.21,33.51,36.86,30.77,49.09,36.86,41.03,17.4,36.86
491,52.08,79.15,39.85,0.0,0.85,39.85,47.92,20.0,39.85,62.5,47.45,39.85,35.42,38.51,39.85,2.08,14.04,39.85,39.58,81.7,39.85,4.17,0.85,39.85,56.25,17.45,39.85,4.17,26.6,39.85,81.25,63.62,39.85,14.58,9.79,39.85,0.0,3.19,39.85,4.17,12.77,39.85,95.83,84.04,39.85,2.08,30.85,39.85,6.25,37.45,39.85,91.67,31.7,39.85
492,22.22,49.65,30.27,6.94,7.27,30.27,70.83,43.08,30.27,61.11,59.86,30.27,34.72,32.87,30.27,4.17,7.27,30.27,33.33,57.48,30.27,8.33,5.73,30.27,58.33,36.78,30.27,4.17,3.22,30.27,12.5,39.86,30.27,83.33,56.92,30.27,0.0,0.42,30.27,13.89,13.57,30.27,86.11,86.01,30.27,25.0,20.7,30.27,41.67,64.06,30.27,33.33,15.24,30.27
493,78.26,84.33,44.62,2.17,3.53,44.62,19.57,12.14,44.62,56.52,54.3,44.62,30.43,28.26,44.62,13.04,17.44,44.62,76.09,90.95,44.62,2.17,5.08,44.62,21.74,3.97,44.62,2.17,4.64,44.62,82.61,83.44,44.62,15.22,11.92,44.62,0.0,2.21,44.62,6.52,25.39,44.62,93.48,72.41,44.62,15.22,8.61,44.62,69.57,88.08,44.62,15.22,3.31,44.62
497,80.39,84.15,44.7,3.92,11.02,44.7,15.69,4.82,44.7,34.31,28.15,44.7,39.22,32.97,44.7,26.47,38.88,44.7,68.63,85.43,44.7,17.65,11.91,44.7,13.73,2.66,44.7,1.96,23.23,44.7,34.31,33.96,44.7,63.73,42.81,44.7,17.65,19.29,44.7,35.29,37.11,44.7,47.06,43.6,44.7,12.75,11.91,44.7,76.47,85.93,44.7,10.78,2.17,44.7
498,81.94,91.89,45.81,1.39,4.48,45.81,16.67,3.64,45.81,48.61,41.54,45.81,34.72,40.56,45.81,16.67,17.9,45.81,68.06,85.17,45.81,5.56,6.43,45.81,26.39,8.39,45.81,1.39,6.01,45.81,4.17,9.09,45.81,94.44,84.9,45.81,0.0,6.15,45.81,19.44,40.7,45.81,80.56,53.15,45.81,23.61,10.77,45.81,62.5,86.57,45.81,13.89,2.66,45.81
499,79.38,90.52,38.91,3.12,4.4,38.91,17.5,5.09,38.91,45.0,34.61,38.91,45.62,48.56,38.91,9.38,16.83,38.91,56.88,74.56,38.91,9.38,11.81,38.91,33.75,13.63,38.91,6.88,5.72,38.91,5.0,4.33,38.91,88.12,89.95,38.91,2.5,3.77,38.91,28.12,34.61,38.91,69.38,61.62,38.91,26.25,12.44,38.91,65.62,85.99,38.91,8.12,1.57,38.91
500,75.0,82.33,39.41,9.56,13.92,39.41,15.44,3.76,39.41,31.62,21.5,39.41,51.47,50.37,39.41,16.91,28.13,39.41,70.59,83.65,39.41,14.71,14.29,39.41,14.71,2.06,39.41,28.68,27.91,39.41,22.06,20.47,39.41,49.26,51.62,39.41,0.0,4.57,39.41,31.62,37.92,39.41,68.38,57.51,39.41,14.71,8.25,39.41,75.0,90.28,39.41,10.29,1.47,39.41
501,58.33,78.47,32.22,5.77,10.86,32.22,35.9,10.67,32.22,46.15,15.68,32.22,32.69,50.9,32.22,21.15,33.42,32.22,48.08,66.77,32.22,19.87,29.88,32.22,32.05,3.34,32.22,10.26,3.73,32.22,59.62,22.49,32.22,30.13,73.78,32.22,1.28,1.29,32.22,25.64,24.29,32.22,73.08,74.42,32.22,9.62,16.26,32.22,58.33,80.21,32.22,32.05,3.53,32.22
502,60.32,77.42,27.32,19.05,16.06,27.32,20.63,6.52,27.32,46.03,22.73,27.32,36.51,49.76,27.32,17.46,27.5,27.32,66.67,88.08,27.32,12.7,8.59,27.32,20.63,3.34,27.32,36.51,44.83,27.32,34.92,16.38,27.32,28.57,38.79,27.32,0.0,2.07,27.32,19.05,31.48,27.32,80.95,66.45,27.32,22.22,12.4,27.32,65.08,86.17,27.32,12.7,1.43,27.32
503,70.54,66.75,60.1,6.37,12.97,60.1,23.09,20.28,60.1,20.38,24.01,60.1,36.94,40.62,60.1,42.68,35.38,60.1,68.95,73.63,60.1,20.38,19.98,60.1,10.67,6.38,60.1,22.29,16.33,60.1,25.48,19.19,60.1,52.23,64.49,60.1,21.5,14.55,60.1,15.13,17.82,60.1,63.38,67.63,60.1,18.63,19.85,60.1,70.86,73.97,60.1,10.51,6.18,60.1
504,54.0,62.87,33.83,5.0,18.16,33.83,41.0,18.97,33.83,44.0,22.4,33.83,29.0,44.4,33.83,27.0,33.2,33.83,43.0,80.83,33.83,20.0,10.6,33.83,37.0,8.58,33.83,35.0,22.81,33.83,9.0,20.18,33.83,56.0,57.01,33.83,2.0,2.83,33.83,10.0,14.83,33.83,88.0,82.34,33.83,15.0,9.28,33.83,46.0,84.86,33.83,39.0,5.85,33.83
