,From,To,Mid,District,Floor,Top,EMP_NAL,EMP_AL,EMP_UN,MSL_RUD,MSL_INT,EMP_ADV
154,0,0.1,0.05,582,0.6551736475,9.6361519181,0.142997125,0.356179134,0.5255790414,0.0044781178,0.0662903051,0.9292135034
155,0,0.1,0.05,583,20.221397014,27.1871175012,0.2680014237,0.18082399,0.6246841075,0.0027305291,0.0358301452,0.9613628776
156,0,0.1,0.05,584,2.0050546071,11.5341429805,0.183150409,0.3082891437,0.5603239199,0.0035280361,0.0858181542,0.9106877491
157,0,0.1,0.05,588,2.1026660532,6.6685605998,0.2770425879,0.0154855897,0.81304938,0.0006577593,0.0337051323,0.965517085
158,0,0.1,0.05,589,2.5183916979,6.4860070399,0.2816687837,0.0044567706,0.7911339273,2.4750907905764E-05,0.0130641028,0.9863172921
159,0,0.1,0.05,590,5.2917952974,6.7722541226,0.2300064553,0.1170563764,0.6936773777,0.0002610256,0.175718269,0.8239671475
160,0,0.1,0.05,591,4.1495249506,10.7297864408,0.2991056726,0.0051383058,0.7703302009,0,0.0359033775,0.963962879
161,0,0.1,0.05,592,2.4480373048,9.9025076841,0.1955769016,0.0326658804,0.8987991905,0,0.0314076178,0.9682623426
162,0,0.1,0.05,593,1.6303397421,8.7071091874,0.3097592446,0.0663001085,0.6732969708,0.0001490091,0.0361778539,0.9631337609
163,0,0.1,0.05,594,4.5750034796,7.9273802755,0.3456469404,0.0179671667,0.6804197326,0.0002708403,0.0148025902,0.9849625809
164,0,0.1,0.05,595,0.5986709589,7.3582899281,0.3342767962,0.0072920953,0.7036549835,0.0001934604,0.0156380918,0.9837697637
165,0,0.1,0.05,596,3.0563316717,13.2150791367,0.1727905697,0.2144708613,0.5709147173,0,0.1030650664,0.8966718388
166,0,0.1,0.05,597,2.5458762476,5.7693794551,0.3173271755,0.0193550485,0.6986778983,0.0005135077,0.0135758201,0.9860883194
167,0,0.1,0.05,598,2.4715374266,9.6493688122,0.2828494418,0.040070275,0.6655179404,0.0003968881,0.0385741758,0.9609629017
168,0,0.1,0.05,599,1.9292998444,6.4718434185,0.2049216808,0.0612442061,0.7346156769,0.0001770666,0.0465246392,0.9527341814
