,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
10,0,0.1,0.05,598,2.654944845841716,4.7687675447239535,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,84.61538461538461,11.0,13.0,15.384615384615385,2.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,69.23076923076923,9.0,13.0,0.0,0.0,13.0,30.76923076923077,4.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0
11,0,0.1,0.05,599,2.16079077058668,4.982293411474549,0.0,0.0,7.0,42.857142857142854,3.0,7.0,57.14285714285714,4.0,7.0,42.857142857142854,3.0,7.0,57.14285714285714,4.0,7.0,0.0,0.0,7.0,42.857142857142854,3.0,7.0,57.14285714285714,4.0,7.0,71.42857142857143,5.0,7.0,0.0,0.0,7.0,28.57142857142857,2.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0
12,0,0.1,0.05,600,1.7167825968213115,5.626847044432812,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,23.076923076923077,3.0,13.0,76.92307692307693,10.0,13.0,69.23076923076923,9.0,13.0,0.0,0.0,13.0,30.76923076923077,4.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0
13,0,0.1,0.05,601,0.3435411997273937,3.6368491178537283,0.0,0.0,13.0,23.076923076923077,3.0,13.0,76.92307692307693,10.0,13.0,69.23076923076923,9.0,13.0,30.76923076923077,4.0,13.0,0.0,0.0,13.0,30.76923076923077,4.0,13.0,69.23076923076923,9.0,13.0,84.61538461538461,11.0,13.0,0.0,0.0,13.0,15.384615384615385,2.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0
14,0,0.2,0.1,588,2.2443653886820787,8.721980885358974,0.0,0.0,29.0,3.4482758620689653,1.0,29.0,96.55172413793103,28.0,29.0,79.3103448275862,23.0,29.0,20.689655172413794,6.0,29.0,0.0,0.0,29.0,34.48275862068966,10.0,29.0,65.51724137931035,19.0,29.0,100.0,29.0,29.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,29.0,100.0,29.0,29.0,3.4482758620689653,1.0,29.0,0.0,0.0,29.0,96.55172413793103,28.0,29.0
15,0,0.2,0.1,589,0.2888743699587139,6.359272332400016,0.0,0.0,36.0,5.555555555555555,2.0,36.0,94.44444444444444,34.0,36.0,100.0,36.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,72.22222222222221,26.0,36.0,27.77777777777778,10.0,36.0,100.0,36.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,100.0,36.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,100.0,36.0,36.0
16,0,0.2,0.1,590,32.88734408553906,42.957900961745516,0.0,0.0,10.0,10.0,1.0,10.0,90.0,9.0,10.0,0.0,0.0,10.0,100.0,10.0,10.0,0.0,0.0,10.0,100.0,10.0,10.0,0.0,0.0,10.0,100.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,40.0,4.0,10.0,60.0,6.0,10.0,80.0,8.0,10.0,10.0,1.0,10.0,10.0,1.0,10.0
17,0,0.2,0.1,591,10.048340104658148,26.30506267726409,0.0,0.0,30.0,3.3333333333333335,1.0,30.0,96.66666666666667,29.0,30.0,86.66666666666667,26.0,30.0,13.333333333333334,4.0,30.0,0.0,0.0,30.0,100.0,30.0,30.0,0.0,0.0,30.0,100.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,100.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,100.0,30.0,30.0
18,0,0.2,0.1,592,57.553265517529965,83.58625574345619,0.0,0.0,34.0,20.588235294117645,7.0,34.0,79.41176470588235,27.0,34.0,67.64705882352942,23.0,34.0,32.35294117647059,11.0,34.0,0.0,0.0,34.0,100.0,34.0,34.0,0.0,0.0,34.0,100.0,34.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,100.0,34.0,34.0,11.76470588235294,4.0,34.0,0.0,0.0,34.0,88.23529411764706,30.0,34.0
19,0,0.2,0.1,593,43.505216021854096,59.16177538831862,8.571428571428571,3.0,35.0,60.0,21.0,35.0,31.428571428571427,11.0,35.0,25.71428571428571,9.0,35.0,71.42857142857143,25.0,35.0,2.857142857142857,1.0,35.0,77.14285714285715,27.0,35.0,22.857142857142858,8.0,35.0,17.142857142857142,6.0,35.0,0.0,0.0,35.0,82.85714285714286,29.0,35.0,11.428571428571429,4.0,35.0,88.57142857142857,31.0,35.0,5.714285714285714,2.0,35.0,14.285714285714285,5.0,35.0,80.0,28.0,35.0
