,From,To,Mid,District,Floor,Top,State,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV
0,0,0.01694915254237288,0.00847457627118644,203,1.2428687576786621,2.969446795089164,10,76.66250000000002,1.9875,21.15833333333333,5.091666666666666,8.71732283464567,37.37083333333333,52.10416666666666,36.75416666666667,10.945833333333335,2.0791666666666666,95.41666666666669,2.5083333333333333,0.21304347826086903,83.73478260869565,16.05217391304348
1,0,0.03389830508474576,0.01694915254237288,203,1.2428687576786621,3.597471176061496,10,79.53404255319148,1.857446808510638,18.1468085106383,6.114893617021277,8.71732283464567,34.170212765957444,51.423404255319156,39.697872340425526,8.606382978723406,1.8085106382978724,95.65319148936173,2.5319148936170213,0.1326086956521735,83.91521739130435,15.952173913043477
2,0,0.05084745762711865,0.025423728813559324,203,1.2428687576786621,4.478905070408975,10,79.91267605633804,2.187323943661972,17.3112676056338,5.926760563380282,8.71732283464567,34.30140845070423,50.05633802816902,41.92112676056338,7.7521126760563375,1.7985915492957745,96.15915492957748,2.0394366197183094,0.12571428571428558,84.1257142857143,15.748571428571429
3,0,0.06779661016949153,0.03389830508474576,203,1.2428687576786621,4.9921983792349955,10,81.34255319148937,1.9329787234042557,16.220212765957445,6.898936170212767,8.71732283464567,32.91808510638298,48.71170212765955,44.530851063829786,6.503191489361702,2.3531914893617016,95.93297872340423,1.7117021276595743,0.10107526881720418,85.02688172043011,14.872043010752689
4,0,0.0847457627118644,0.0423728813559322,203,1.2428687576786621,5.700996433294383,10,82.51282051282051,1.8256410256410252,15.193162393162394,6.664102564102564,8.71732283464567,33.12564102564103,48.75470085470084,45.44188034188035,5.574358974358975,2.1333333333333333,96.15470085470085,1.7136752136752134,0.09482758620689627,86.66120689655172,13.243965517241381
5,0,0.10169491525423728,0.05084745762711864,203,1.2428687576786621,6.286711193349673,10,83.31418439716312,1.975886524822695,14.275886524822695,6.331205673758865,8.71732283464567,33.696453900709216,48.00354609929078,46.75673758865248,4.992198581560284,2.0595744680851062,96.28510638297873,1.656737588652482,0.10785714285714258,87.15357142857142,12.73857142857143
6,0,0.11864406779661014,0.05932203389830507,203,1.2428687576786621,6.7554881423731326,10,84.36646341463415,1.9085365853658536,13.279268292682927,5.932317073170732,8.71732283464567,32.90609756097561,49.99268292682926,45.238414634146345,4.515853658536586,1.9932926829268287,96.45243902439024,1.5548780487804874,0.10306748466257643,88.15398773006135,11.742944785276075
7,0,0.13559322033898305,0.06779661016949153,203,1.2428687576786621,7.243949262731128,10,85.2855614973262,1.8106951871657757,12.485561497326202,5.8957219251336905,8.71732283464567,32.90748663101605,50.51176470588236,45.149732620320854,4.090909090909092,1.9315508021390375,96.59251336898396,1.476470588235294,0.10053763440860196,89.23064516129031,10.668817204301076
8,0,0.15254237288135594,0.07627118644067797,203,1.2428687576786621,7.626798339740274,10,85.41469194312796,1.863507109004739,12.30616113744076,5.798578199052132,8.71732283464567,32.14644549763033,50.932701421800935,44.91658767772511,3.846919431279621,1.7876777251184837,96.84549763033176,1.3696682464454977,0.0985714285714284,89.67809523809522,10.223333333333334
9,0,0.16949152542372886,0.08474576271186443,203,1.2428687576786621,8.155554219189456,10,85.91239316239314,1.755555555555555,11.941025641025641,6.108547008547008,8.71732283464567,32.4457264957265,50.64059829059829,45.34786324786325,3.6824786324786327,1.8346153846153848,96.83333333333331,1.3358974358974358,0.10600858369098684,90.52660944206008,9.367381974248929
10,0,0.18644067796610173,0.09322033898305086,203,1.2428687576786621,8.526299721163106,10,86.25564202334631,1.6735408560311285,11.682879377431906,5.961478599221788,8.71732283464567,32.30038910505837,50.72568093385214,45.361089494163416,3.584046692607004,1.8723735408560316,96.84474708171206,1.2852140077821008,0.11132812499999989,90.071875,9.816796875
11,0,0.20338983050847464,0.10169491525423732,203,1.2428687576786621,9.087374064643988,10,86.45302491103205,1.603202846975089,11.529893238434164,5.792526690391457,8.71732283464567,32.62241992882563,50.10711743772242,46.11601423487544,3.459430604982207,1.8252669039145908,96.94768683274022,1.2313167259786475,0.10749999999999987,90.65107142857143,9.241428571428571
12,0,0.2203389830508475,0.11016949152542377,203,1.2428687576786621,9.50144499104925,10,86.62532894736843,1.5973684210526315,11.38125,5.534210526315791,8.71732283464567,32.8421052631579,50.49671052631579,45.86118421052631,3.2907894736842107,2.44375,96.37269736842104,1.1875,0.11221122112211211,91.01518151815182,8.872607260726072
13,0,0.2372881355932204,0.1186440677966102,203,1.2428687576786621,9.857940623319973,10,86.76146788990826,1.5504587155963303,11.30611620795107,5.914984709480121,8.71732283464567,32.452599388379205,50.69174311926604,45.78195718654434,3.1712538226299696,2.579816513761468,96.22813455657491,1.196024464831804,0.10582822085889552,91.25705521472393,8.637116564417177
14,0,0.2542372881355933,0.12711864406779666,203,1.2428687576786621,10.267577755227887,10,86.86723646723647,1.6014245014245012,11.16068376068376,6.0259259259259235,8.71732283464567,32.70427350427351,50.66410256410256,45.87521367521367,3.095156695156696,2.455270655270656,96.3931623931624,1.1564102564102563,0.11057142857142829,91.60857142857142,8.280857142857144
15,0,0.27118644067796616,0.13559322033898308,203,1.2428687576786621,10.56013068346051,10,87.0245989304813,1.5518716577540106,11.025935828877003,5.956149732620322,8.71732283464567,32.485828877005346,50.657219251336876,45.956951871657765,3.0251336898395715,2.5211229946524067,96.34759358288771,1.1352941176470588,0.13538873994638048,91.87292225201072,7.991689008042894
