,State,District,Name,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL,ASSET
30,10,233,Kaimur (Bhabua),1,2,3,2,1,1,3.0,1.0,4.0,4.0,4.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,1
31,10,234,Rohtas,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
32,10,235,Aurangabad,1,2,3,2,1,1,3.0,4.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,4.0,6.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1
33,10,236,Gaya,1,2,3,2,1,1,3.0,1.0,4.0,1.0,4.0,2.0,1.0,6.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
34,10,237,Nawada,1,2,3,2,1,1,3.0,1.0,4.0,4.0,4.0,3.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,1.0,2
35,10,238,Jamui,1,1,3,2,1,2,3.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,1
36,10,239,Jehanabad ,1,2,3,2,1,1,7.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1
37,10,240,Arwal,1,2,3,2,1,1,3.0,7.0,4.0,4.0,1.0,6.0,4.0,3.0,1.0,1.0,6.0,1.0,6.0,1.0,7.0,3.0,4.0,1.0,1
38,21,370,Bargarh,2,2,3,1,1,2,3.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,7.0,1.0,3.0,4.0,1.0,5.0,4.0,4.0,2.0,4.0,1
39,21,371,Jharsuguda,2,2,3,2,1,3,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,5.0,1
40,21,372,Sambalpur,2,2,3,1,1,3,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,1
41,21,373,Debagarh,1,2,3,1,1,2,3.0,7.0,1.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0,1
42,21,374,Sundargarh,2,2,3,1,1,3,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0,1
43,21,375,Kendujhar,1,2,3,1,1,1,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,1
44,21,376,Mayurbhanj,1,1,3,1,1,2,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0,1
45,21,377,Baleshwar,2,2,3,2,1,1,3.0,1.0,4.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,6.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,1
46,21,378,Bhadrak,2,2,3,2,1,1,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,1
47,21,379,Kendrapara ,2,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0,1
48,21,380,Jagatsinghapur ,2,2,3,2,1,1,6.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,1
49,21,381,Cuttack,2,2,3,2,1,3,7.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,1
50,21,382,Jajapur  ,2,2,3,2,1,1,3.0,4.0,1.0,1.0,1.0,6.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,1
51,21,383,Dhenkanal,2,1,3,1,1,1,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0,1
52,21,384,Anugul  ,2,1,3,1,1,1,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,4.0,1
53,21,385,Nayagarh  ,2,1,3,1,1,1,7.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0,1
