,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
40,372,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0
41,373,3.0,7.0,1.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0
42,374,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0
43,375,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0
44,376,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0
45,377,3.0,1.0,4.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,6.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0
46,378,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0
47,379,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0
48,380,6.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0
49,381,7.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0
50,382,3.0,4.0,1.0,1.0,1.0,6.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0
51,383,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0
52,384,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,4.0
53,385,7.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0
54,386,3.0,4.0,4.0,4.0,4.0,2.0,6.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0
55,387,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0
56,388,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0
57,389,7.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0
58,390,7.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0
59,391,3.0,1.0,1.0,1.0,4.0,6.0,3.0,4.0,7.0,1.0,6.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0
60,392,3.0,4.0,1.0,4.0,1.0,6.0,3.0,4.0,7.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0
61,393,7.0,1.0,1.0,1.0,4.0,3.0,6.0,1.0,7.0,4.0,3.0,4.0,2.0,4.0,4.0,6.0,1.0,4.0
62,394,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0
63,395,3.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,6.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0
64,396,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0
65,397,3.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,7.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0
66,398,3.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,3.0,4.0,1.0,1.0,2.0,4.0
67,399,7.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,7.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0
68,468,2.0,1.0,5.0,6.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,6.0,2.0,1.0,4.0
69,469,3.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,4.0
70,470,5.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,6.0,5.0,2.0,4.0
71,471,2.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,6.0,6.0,1.0,4.0
72,472,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,2.0,4.0
73,473,5.0,1.0,6.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,6.0,1.0,4.0,6.0,3.0,1.0,4.0
74,474,2.0,4.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,4.0,6.0,1.0,1.0,6.0,3.0,1.0,4.0
75,475,7.0,4.0,1.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,6.0,2.0,2.0,4.0
76,476,2.0,4.0,5.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,4.0
77,477,3.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,4.0
78,478,3.0,1.0,4.0,2.0,1.0,4.0,6.0,1.0,4.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0
79,479,7.0,4.0,1.0,5.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0
80,480,7.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0
81,481,3.0,4.0,5.0,5.0,1.0,4.0,6.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,6.0,2.0,1.0,4.0
82,482,2.0,4.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,4.0,6.0,6.0,1.0,4.0
83,483,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,4.0
84,484,3.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,6.0,5.0,2.0,4.0
85,485,3.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0
86,486,6.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0
87,487,3.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0
88,488,5.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,1.0,4.0
89,489,7.0,1.0,1.0,5.0,1.0,4.0,3.0,7.0,1.0,2.0,2.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0
90,490,2.0,4.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,6.0,1.0,2.0,4.0
91,491,3.0,1.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0
92,492,5.0,1.0,6.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,4.0
93,493,3.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,6.0,4.0,3.0,4.0
94,497,3.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0
95,498,3.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,4.0
96,499,3.0,1.0,4.0,5.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0
97,500,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0
98,501,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0
99,502,3.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0
100,503,3.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0
101,504,2.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,6.0,4.0,3.0,4.0
102,505,2.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0
103,506,2.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,6.0,4.0,2.0,4.0
104,507,7.0,2.0,1.0,1.0,5.0,1.0,3.0,7.0,4.0,2.0,2.0,4.0,1.0,1.0,6.0,1.0,2.0,4.0
105,508,7.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0,1.0,6.0,4.0
106,509,3.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,2.0,4.0
107,510,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0
108,511,3.0,1.0,4.0,4.0,2.0,1.0,6.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,2.0,4.0
109,512,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0
110,513,3.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,6.0,1.0
111,514,6.0,2.0,4.0,4.0,2.0,1.0,6.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0
112,515,6.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0
113,516,6.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0
114,517,2.0,4.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,5.0
115,520,2.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,5.0
116,521,2.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,6.0,1.0,2.0,4.0
117,522,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,5.0,1.0,1.0,5.0,4.0,2.0,4.0
118,523,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0
119,524,3.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0
120,525,3.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0
121,526,3.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0
122,527,1.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,4.0
123,528,7.0,1.0,6.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0,2.0,4.0
124,529,1.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,6.0,1.0,4.0
125,530,1.0,4.0,6.0,6.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,6.0,4.0,2.0,4.0
126,531,4.0,2.0,6.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,6.0,5.0,2.0,4.0
127,555,6.0,4.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,5.0,4.0,1.0,6.0,1.0,2.0,4.0
128,556,3.0,7.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,6.0,4.0,2.0,4.0
129,557,3.0,7.0,4.0,4.0,5.0,1.0,6.0,1.0,4.0,1.0,2.0,5.0,4.0,1.0,6.0,1.0,2.0,4.0
